,Brute,Dérivée 1,Dérivée 2,PCA,FFT,Hilbert
Brute,0.8125,0.9791666666666666,0.9375,0.7291666666666666,0.875,0.8125
Dérivée 1,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9583333333333334,0.8958333333333334
Dérivée 2,0.9375,0.9791666666666666,0.9375,0.9583333333333334,0.9583333333333334,0.9375
PCA,0.7291666666666666,0.5416666666666666,0.5416666666666666,0.7291666666666666,0.6666666666666666,0.5416666666666666
FFT,0.875,0.9583333333333334,0.9583333333333334,0.4583333333333333,0.875,0.75
Hilbert,0.8125,0.9375,0.9583333333333334,0.7916666666666666,0.8958333333333334,0.8125
